Rank 123 | Hero: Owain | Vote count: 1267 | Series: Awakening 
Rank 124 | Hero: Leila | Vote count: 1266 | Series: The Blazing Blade 
Rank 125 | Hero: Henry | Vote count: 1242 | Series: Awakening 
Rank 126 | Hero: Catherine | Vote count: 1232 | Series: Three Houses (Academy Arc) 
Rank 127 | Hero: Yashiro & Navarre | Vote count: 1228 | Series: Tokyo Mirage Sessions ♯FE Encore 
Rank 128 | Hero: Eir | Vote count: 1222 | Series: Heroes 
Rank 129 | Hero: Rath | Vote count: 1204 | Series: The Blazing Blade 
Rank 130 | Hero: Cornelia | Vote count: 1159 | Series: Three Houses (War Arc) 
Rank 131 | Hero: Ogma | Vote count: 1141 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 132 | Hero: Manuela | Vote count: 1133 | Series: Three Houses (Academy Arc) 
Rank 133 | Hero: Tana | Vote count: 1129 | Series: The Sacred Stones 
Rank 134 | Hero: Ranulf | Vote count: 1127 | Series: Radiant Dawn, Path of Radiance 
Rank 135 | Hero: Luthier | Vote count: 1121 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 136 | Hero: Emmeryn | Vote count: 1117 | Series: Awakening 
Rank 137 | Hero: Raphael | Vote count: 1115 | Series: Three Houses (Academy Arc), Three Houses (War Arc) 
Rank 138 | Hero: Julia | Vote count: 1109 | Series: Genealogy of the Holy War 
Rank 139 | Hero: Eldigan | Vote count: 1106 | Series: Genealogy of the Holy War 
Rank 140 | Hero: Olivia | Vote count: 1104 | Series: Awakening 
Rank 141 | Hero: Boyd | Vote count: 1101 | Series: Radiant Dawn, Path of Radiance 
Rank 142 | Hero: Jeralt | Vote count: 1098 | Series: Three Houses (Academy Arc) 
Rank 143 | Hero: Sain | Vote count: 1091 | Series: The Blazing Blade 
Rank 144 | Hero: Elise | Vote count: 1083 | Series: Fates 
Rank 144 | Hero: Florina | Vote count: 1083 | Series: The Blazing Blade 
Rank 145 | Hero: Volke | Vote count: 1079 | Series: Path of Radiance, Radiant Dawn 
Rank 146 | Hero: Fae | Vote count: 1078 | Series: The Binding Blade 
Rank 147 | Hero: Dieck | Vote count: 1071 | Series: The Binding Blade 
Rank 148 | Hero: Camus | Vote count: 1061 | Series: Shadow Dragon and the Blade of Light / Shadow Dragon, Mystery of the Emblem / New Mystery of the Emblem 
Rank 149 | Hero: Ashnard | Vote count: 1027 | Series: Path of Radiance 
Rank 150 | Hero: Brigid | Vote count: 1026 | Series: Genealogy of the Holy War 
Rank 151 | Hero: Katarina | Vote count: 1024 | Series: Mystery of the Emblem / New Mystery of the Emblem 
Rank 151 | Hero: Dwyer | Vote count: 1024 | Series: Fates 
Rank 152 | Hero: Mist | Vote count: 1021 | Series: Radiant Dawn, Path of Radiance 
Rank 153 | Hero: Niles | Vote count: 1010 | Series: Fates 
Rank 154 | Hero: Ignatz | Vote count: 995 | Series: Three Houses (War Arc), Three Houses (Academy Arc) 
Rank 155 | Hero: Tatiana | Vote count: 983 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 155 | Hero: Knoll | Vote count: 983 | Series: The Sacred Stones 
Rank 155 | Hero: Eleonora & Virion | Vote count: 983 | Series: Tokyo Mirage Sessions ♯FE Encore 
Rank 156 | Hero: Ophelia | Vote count: 982 | Series: Fates 
Rank 157 | Hero: Erinys | Vote count: 977 | Series: Genealogy of the Holy War 
Rank 157 | Hero: Lucia | Vote count: 977 | Series: Radiant Dawn, Path of Radiance 
Rank 158 | Hero: Sothe | Vote count: 974 | Series: Radiant Dawn, Path of Radiance 
